"BLOC","ID","ARTIFACTTYPE","FRACTURE","BACKED_EDGE","CORTEX","LENGHT","WIDTH","MAXTHICK","EPA","IPA","WEIGHT","Strategy"
"2","B2_109","Core Edge Flake","Complete","Prepared","0 (No Cortex)",63.7,48.8,28,54,119,42.02,"Discoid"
"2","B2_110","Core Edge Flake","Complete","Prepared","0 (No Cortex)",64.1,45.8,19,50,122,32.78,"Discoid"
"2","B2_115","Core edge with limited back","Complete","Prepared","0 (No Cortex)",37,31,11.9,55,135,8.73,"Discoid"
"2","B2_118","Core edge with limited back","Complete","Plain","0 (No Cortex)",49.7,62.8,15.8,66,125,39.49,"Discoid"
"2","B2_119","pseudo-Levallois Point","Complete","None","0 (No Cortex)",48.8,42.6,8.7,61,114,15,"Discoid"
"2","B2_120","Core edge with limited back","Complete","Plain","1 (~25% cortex)",62.2,48.3,17.1,74,108,43.83,"Discoid"
"2","B2_121","Core Edge Flake","Complete","Prepared","0 (No Cortex)",48,36.3,13.1,74,111,19.61,"Discoid"
"2","B2_122","Core edge with limited back","Complete","Plain","1 (~25% cortex)",42.4,59.8,17.5,70,110,43.69,"Discoid"
"2","B2_123","Core Edge Flake","Complete","Cortical","0 (No Cortex)",46.5,46.1,13.8,66,115,16.28,"Discoid"
"2","B2_124","Core edge with limited back","Complete","Cortical","1 (~25% cortex)",38.8,45.7,18.3,75,125,19.87,"Discoid"
"2","B2_125","Core edge with limited back","Complete","Prepared","2 (~50% cortex)",68,42.2,19,65,125,44,"Discoid"
"2","B2_126","Core edge with limited back","Complete","Plain","0 (No Cortex)",55,43.5,14.6,58,124,23.24,"Discoid"
"2","B2_127","Core edge with limited back","Complete","Plain","0 (No Cortex)",47,54.1,15.2,70,119,35.89,"Discoid"
"2","B2_128","Core edge with limited back","Complete","Plain","2 (~50% cortex)",52.3,37,15.1,71,115,25.42,"Discoid"
"2","B2_131","Core edge with limited back","Complete","Cortical","3 (~75% coretx)",61.7,77,32.8,50,123,114.31,"Discoid"
"2","B2_137","Core edge with limited back","Complete","Cortical","1 (~25% cortex)",87.7,86.5,18.4,65,119,110.47,"Discoid"
"2","B2_143","Core edge with limited back","Complete","Cortical","0 (No Cortex)",50.2,44.2,12.3,65,130,22.57,"Discoid"
"2","B2_150","Core edge with limited back","Complete","Cortical","4 (~100% cortex)",75.5,92,21.3,69,119,106.14,"Discoid"
"2","B2_158","Core edge with limited back","Complete","Cortical","4 (~100% cortex)",97.5,86.5,42.5,62,110,298.26,"Discoid"
"2","B2_159","Core edge with limited back","Complete","Plain","4 (~100% cortex)",68.8,65.7,18.2,75,111,71.2,"Discoid"
"2","B2_175","pseudo-Levallois Point","Complete","Plain","1 (~25% cortex)",69.2,55.7,20.4,62,113,54.08,"Discoid"
"2","B2_199","Core edge with limited back","Complete","Prepared","0 (No Cortex)",62.9,48.7,27.9,65,125,41.99,"Discoid"
"3","B3_224","Core edge with limited back","Complete","Cortical","3 (~75% coretx)",82.4,99,18.9,69,115,128.22,"Discoid"
"3","B3_225","Core edge with limited back","Complete","None","3 (~75% coretx)",64.6,37.7,24.1,70,136,44.31,"Discoid"
"3","B3_233","Core edge with limited back","Complete","None","4 (~100% cortex)",68,59.4,27.1,51,115,87.48,"Discoid"
"3","B3_235","Core edge with limited back","Complete","Plain","2 (~50% cortex)",74.4,63.2,34.6,65,128,88.85,"Discoid"
"3","B3_243","Core edge with limited back","Complete","Cortical","1 (~25% cortex)",59,45.2,15.6,36,133,25.72,"Discoid"
"3","B3_249","Core edge with limited back","Complete","Prepared","0 (No Cortex)",43.4,29.6,19.5,70,110,14.3,"Discoid"
"3","B3_260","Core edge with limited back","Complete","Cortical","3 (~75% coretx)",73.4,77.2,15.5,63,125,61.8,"Discoid"
"3","B3_290","pseudo-Levallois Point","","Prepared","2 (~50% cortex)",38,42.9,22.8,63,112,22.44,"Discoid"
"3","B3_340","Core edge with limited back","Complete","Cortical","1 (~25% cortex)",48.3,46.5,6.9,74,109,14.52,"Discoid"
"3","B3_377","Core Edge Flake","Complete","Plain","1 (~25% cortex)",70.2,69.8,24.5,55,115,74.1,"Discoid"
"3","B3_378","Core edge with limited back","Complete","Plain","0 (No Cortex)",43,44.6,15.7,35,130,19.38,"Discoid"
"3","B3_379","Core edge with limited back","Complete","Prepared","1 (~25% cortex)",72.5,45.2,24.8,80,111,72.73,"Discoid"
"3","B3_380","Core Edge Flake","Complete","Prepared","1 (~25% cortex)",49,51.8,21.9,47,130,49.66,"Discoid"
"3","B3_381","pseudo-Levallois Point","Complete","Prepared","0 (No Cortex)",51.6,60.8,19.4,75,114,47.83,"Discoid"
"3","B3_382","Core Edge Flake","Complete","Plain","1 (~25% cortex)",50.7,47.3,20.5,60,120,20.63,"Discoid"
"3","B3_384","pseudo-Levallois Point","Complete","Plain","0 (No Cortex)",59.1,62.5,21.7,64,122,53.58,"Discoid"
"3","B3_386","Core edge with limited back","Complete","Plain","0 (No Cortex)",53.8,32.6,14.2,45,130,19.07,"Discoid"
"3","B3_389","Core edge with limited back","Complete","Plain","0 (No Cortex)",64.7,63,18.1,83,116,60.6,"Discoid"
"3","B3_390","Core edge with limited back","Complete","Prepared","0 (No Cortex)",35,48.9,16.5,51,120,31.61,"Discoid"
"3","B3_391","Core edge with limited back","Complete","Plain","0 (No Cortex)",52.7,51.5,10.6,61,120,23.55,"Discoid"
"4","B4_415","Core Edge Flake","Complete","Prepared","0 (No Cortex)",47.2,30.7,9.8,66,121,9.56,"Discoid"
"4","B4_436","pseudo-Levallois Point","Complete","Plain","0 (No Cortex)",47.8,33.5,11.8,67,110,11.92,"Discoid"
"4","B4_456","Core edge with limited back","Complete","Plain","1 (~25% cortex)",72.8,110.5,33.1,52,140,139.85,"Discoid"
"4","B4_457","Core edge with limited back","Complete","Plain","1 (~25% cortex)",79.5,89,19.8,56,128,99.08,"Discoid"
"4","B4_475","pseudo-Levallois Point","Complete","Plain","0 (No Cortex)",38.4,43.1,7.5,68,114,8.74,"Discoid"
"4","B4_476","Core Edge Flake","Complete","Prepared","1 (~25% cortex)",84.7,68.2,31.9,74,116,156.58,"Discoid"
"4","B4_485","pseudo-Levallois Point","Complete","Plain","1 (~25% cortex)",51,93.8,26.1,56,125,82.86,"Discoid"
"4","B4_511","Core edge with limited back","Complete","Plain","0 (No Cortex)",50.4,46.3,8.3,66,115,14.37,"Discoid"
"5","B5_601","Core Edge Flake","Complete","Cortical","0 (No Cortex)",120.2,47.3,23.6,66,109,105.8,"Discoid"
"5","B5_609","Core edge with limited back","Complete","Plain","1 (~25% cortex)",45.5,62.1,17.7,62,124,36.98,"Discoid"
"5","B5_610","Core edge with limited back","Complete","Plain","0 (No Cortex)",32.1,28.8,8.7,65,115,5.9,"Discoid"
"5","B5_615","Core edge with limited back","Complete","Plain","1 (~25% cortex)",33,29.3,9.9,64,115,6.45,"Discoid"
"5","B5_665","pseudo-Levallois Point","Complete","Prepared","2 (~50% cortex)",39.6,56.2,15.9,77,109,27.49,"Discoid"
"5","B5_666","Core edge with limited back","Complete","Cortical","2 (~50% cortex)",64.5,53.7,13.8,65,120,35.5,"Discoid"
"5","B5_667","Core edge with limited back","Complete","Cortical","3 (~75% coretx)",58.2,43.3,16.1,40,134,30.93,"Discoid"
"5","B5_668","pseudo-Levallois Point","Complete","Prepared","0 (No Cortex)",26.2,31.7,18.1,52,131,11.47,"Discoid"
"5","B5_671","Core Edge Flake","Complete","Plain","1 (~25% cortex)",83.2,54.4,25.1,49,123,118.46,"Discoid"
"5","B5_673","Core edge with limited back","Complete","Plain","1 (~25% cortex)",44,48.9,23.5,55,120,36.61,"Discoid"
"5","B5_675","Core edge with limited back","Complete","Plain","3 (~75% coretx)",46,42.2,14.8,61,120,23.1,"Discoid"
"5","B5_676","pseudo-Levallois Point","Complete","Plain","0 (No Cortex)",50.4,52.7,16.5,81,102,20.57,"Discoid"
"5","B5_809","Core edge with limited back","Complete","Plain","3 (~75% coretx)",40.2,40.2,6.8,68,110,8.38,"Discoid"
"6","B6_686","Core edge with limited back","Complete","Plain","3 (~75% coretx)",82.6,83.2,27.9,66,115,161.29,"Discoid"
"6","B6_715","Core edge with limited back","Complete","Plain","3 (~75% coretx)",85.2,71.9,15.5,59,110,66.08,"Discoid"
"6","B6_740","Core edge with limited back","Complete","Cortical","1 (~25% cortex)",55.5,75.5,22.7,69,126,61.88,"Discoid"
"6","B6_741","Core edge with limited back","Complete","Plain","1 (~25% cortex)",44.4,54.9,20.6,65,101,36.12,"Discoid"
"6","B6_743","Core edge with limited back","Complete","Plain","1 (~25% cortex)",60.8,72.2,13.5,66,114,49.66,"Discoid"
"6","B6_778","pseudo-Levallois Point","Complete","Prepared","0 (No Cortex)",23.8,31.7,5.8,68,112,4.01,"Discoid"
"6","B6_784","Core edge with limited back","Complete","Prepared","0 (No Cortex)",30.5,28.3,12.5,56,121,6.84,"Discoid"
"7","B7_698","Core edge with limited back","Complete","Plain","1 (~25% cortex)",28.4,32.8,6.1,55,125,5.21,"Levallois"
"7","B7_809","Core edge with limited back","Complete","Prepared","3 (~75% coretx)",54.8,60.7,10.6,55,116,28.36,"Levallois"
"7","B7_810","Core edge with limited back","Complete","Cortical","4 (~100% cortex)",37.7,51.8,11.4,75,96,15.46,"Levallois"
"7","B7_814","Core edge with limited back","Complete","Plain","4 (~100% cortex)",32.6,39,9.3,65,112,10.99,"Levallois"
"7","B7_825","Core edge with limited back","Complete","Plain","1 (~25% cortex)",58.5,22.8,9.8,76,110,8.65,"Levallois"
"7","B7_828","Core edge with limited back","Complete","Prepared","1 (~25% cortex)",60.7,42.5,12.3,72,109,22.3,"Levallois"
"7","B7_830","Core edge with limited back","Complete","Prepared","0 (No Cortex)",56.2,35.3,9.3,72,115,16.14,"Levallois"
"7","B7_837","Core edge with limited back","Complete","Prepared","0 (No Cortex)",37,41.7,5,70,109,5.95,"Levallois"
"7","B7_839","Core edge with limited back","Complete","Plain","0 (No Cortex)",31.5,28,8,62,110,3.49,"Levallois"
"7","B7_890","Core edge with limited back","Complete","Cortical","0 (No Cortex)",74.8,70.1,15,85,104,65.57,"Levallois"
"7","B7_915","Core edge with limited back","Complete","Plain","0 (No Cortex)",69.5,90.7,19.7,78,102,65.67,"Levallois"
