"...1";"...2";"...3"
-3,1805;-3,0602;404,6271
16,5287;5,6032;398,8099
14,7403;4,4633;398,5053
-0,633;-3,1621;404,1718
17,4201;1,0746;402,1888
29,3617;-0,5502;408,4761
20,009;2,1928;401,8458
29,5244;-1,0495;408,9121
26,2261;0,0813;406,3577
15,3158;-1,7974;405,6855
16,8886;3,1695;399,5235
27,4045;-1,8628;408,936
22,6739;1,5009;403,6868
25,5622;0,0051;406,2223
26,2062;0,5496;405,9361
21,7183;-1,7264;407,2156
16,1224;3,013;399,3639
26,6425;0,6375;406,244
23,1683;-0,2055;405,7878
10,6035;-1,7216;404,9889
21,7423;-2,4875;408,1469
25,0014;-0,2312;406,3546
3,5345;-1,4811;403,4942
6,1501;0,1112;402,4072
15,1341;-2,7685;406,658
16,9664;3,2664;399,4762
22,0523;1,6106;403,3027
19,7546;2,0396;401,7982
8,2998;-2,1642;405,4976
28,4052;-1,0716;408,4093
19,5625;2,4845;401,4569
14,5308;-1,0124;404,684
17,0422;3,3092;399,4737
24,8665;-2,0178;408,7362
20,1997;2,2731;401,9606
22,8077;1,5046;403,7464
17,9061;-2,2405;406,7696
3,4397;-2,772;405,1651
17,186;3,9756;399,3095
17,465;3,1497;399,7846
23,1828;1,3201;404,0361
29,8147;-0,0098;408,3644
13,0928;-2,3697;405,7063
21,369;-0,7298;405,9509
18,1625;-0,42;404,4253
20,4565;0,3324;404,1793
23,1557;1,1585;404,1481
24,607;-1,1152;407,4703
18,6965;2,7691;400,8012
16,2584;3,7206;399,0466
10,4824;0,8946;402,0637
9,889;-0,7275;403,9778
26,2872;0,2872;406,115
16,7775;3,397;399,3148
22,7037;1,015;404,1205
21,8133;0,8704;404,0144
5,04;-2,029;404,8687
18,5496;-1,361;405,8627
19,0836;1,7354;401,9128
13,6922;2,3053;400,6408
9,9006;-2,6758;405,8808
27,9615;-1,3659;408,4969
14,5161;0,2792;403,1533
-39,0696;47,1945;403,6831
7,4214;26,435;397,9592
-64,0742;31,3291;412,7015
5,6798;30,8649;398,2244
-1,438;44,5874;398,2217
11,1987;23,8173;397,6447
12,5804;9,8446;397,7728
8,5497;6,9002;398,829
-43,1925;44,7315;405,1024
-6,6131;40,0949;400,1193
-30,5892;45,5362;401,9117
-58,092;37,2238;409,3556
3,1914;33,8673;398,2488
-56,5429;30,0279;411,6242
-7,6171;34,5802;401,1753
-61,6436;39,7552;408,6135
-8,2559;64,7057;395,5715
-1,9262;19,3759;400,0648
-54,6813;37,9174;409,0414
5,5193;23,1357;398,0892
-44,6877;35,0314;407,8219
-5,0361;-2,053;405,1126
-6,2941;1,5928;405,0392
1,626;19,1058;399,2267
-8,49;55,7662;395,8119
-42,7363;39,9946;406,7611
-26,8923;53,91;399,786
8,7473;3,0116;400,2792
-12,5964;33,9384;402,5775
-71,3885;31,7172;412,5496
13,5278;5,908;397,8438
7,3604;32,9555;397,9911
-49,7157;41,4524;407,1148
-4,6603;24,2989;401,0627
-53,6296;39,6372;408,3128
-39,3977;47,1419;404,0728
-51,4623;38,4565;408,4299
7,3615;17,9241;398,1729
12,5826;6,3301;397,7562
-12,6608;59,793;395,4702
-39,2705;37,1198;404,2505
4,6902;18,7943;398,4417
-3,2772;34,2392;399,6792
3,3341;28,2557;398,5496
-48,3001;26,8567;409,6583
9,1038;12,9748;398,0079
-0,9424;23,9366;399,5691
-11,2285;3,6364;406,3546
2,4888;23,5324;398,6937
12,382;5,9864;397,9697
-44,73;41,9739;406,2862
-37,1745;23,4911;409,0154
-18,0446;43,6635;399,376
-36,6675;49,0587;402,914
4,5371;37,3983;397,5747
1,9025;0,1942;402,2763
-17,9724;10,6998;408,2262
11,8009;9,8401;397,6399
-74,8501;35,8747;410,0195
10,0421;9,6912;397,8938
-60,4956;30,7013;412,7207
0,9381;14,7877;399,8127
-31,8911;25,7808;407,2918
-33,9843;49,7292;402,0673
-31,3022;20,8763;409,1558
4,4572;14,404;399,0257
-57,6602;38,5465;409,1533
-37,3965;48,3271;403,1817
-8,7325;24,3951;403,1691
-18,7232;23,8398;406,1193
-57,9883;34,7867;410,0472
-16,6281;55,4297;396,0226
-22,7324;52,7066;399,8892
-13,0512;66,5922;396,2249
-50,6101;40,5906;407,6342
-14,1659;7,7866;406,7493
-21,0734;14,1965;408,7264
-4,5096;10,3291;401,7645
-11,5027;45,3349;399,2848
-8,4312;0,1383;406,3222
-11,707;9,6099;404,9886
-20,4508;61,7698;396,8191
-5,5505;5,7912;403,7375
-25,2107;23,0239;407,6532
-29,7665;55,1231;399,9202
-43,3981;24,7952;408,9598
11,3489;9,285;397,6136
-33,3165;52,2561;401,0059
-25,6807;31,1766;404,5125
-62,4588;34,37;410,5981
-24,4096;47,9741;399,1703
-18,5805;37,3058;401,2303
-32,8946;52,7942;400,762
-11,91;39,4612;400,8824
0,0396;10,5297;400,4741
-24,4573;59,915;398,1197
