"...1";"...2";"...3"
21,7526;19,4608;348,1295
18,358;23,9399;348,7989
20,5601;20,7984;347,8931
21,537;19,7728;347,9866
21,4359;21,6177;348,3278
21,0198;23,3787;348,8895
20,1768;23,357;348,5661
21,3319;23,089;348,8906
20,7661;23,2267;348,7261
21,9405;21,4064;348,431
20,2713;22,1499;348,1847
21,7996;22,049;348,7041
19,7759;23,912;348,8299
20,9728;22,9484;348,6815
20,3629;23,6849;348,7953
21,8273;21,672;348,495
20,7856;21,2745;348,0168
20,3957;23,9249;349,0357
21,4598;22,3116;348,6048
21,8681;21,153;348,3458
22,0355;21,2875;348,4251
21,2523;22,604;348,635
21,3109;20,4005;348,0274
20,9233;20,5659;347,8758
22,2054;20,763;348,5392
19,6701;23,0177;348,3813
19,6751;23,9932;349,0388
20,6001;22,7585;348,4975
21,958;20,7986;348,3847
21,3229;22,827;348,7611
19,2433;23,8848;348,8471
21,8484;21,4574;348,4171
18,913;23,8429;348,8218
21,9322;21,6822;348,5684
19,8487;23,782;348,6458
19,9403;23,8236;348,7233
21,9594;21,2372;348,3864
21,9285;20,2381;348,3668
18,5977;23,8775;348,8019
18,8206;23,8909;348,8782
20,2098;23,6306;348,7004
20,9515;23,6856;348,994
22,034;21,0713;348,4024
21,6411;21,9346;348,5297
21,7625;21,7526;348,5022
21,569;22,1068;348,57
20,5026;23,3744;348,6833
21,618;22,0486;348,5733
19,0047;23,8606;348,8487
18,3694;23,9817;348,8308
21,075;20,885;347,9959
21,6156;21,0626;348,2546
20,5471;23,4898;348,7388
19,1698;23,6369;348,6553
20,8164;22,9666;348,6396
21,1971;22,5632;348,5962
21,7306;20,642;348,2663
21,8608;21,6621;348,5118
21,1239;22,1277;348,4031
20,9548;20,9776;347,973
22,1975;20,4701;348,5909
21,555;22,492;348,7522
21,5794;21,3496;348,2955
-17,9772;-4,0386;379,0766
6,8459;30,4729;358,8385
0,723;-6,8141;375,5381
4,649;28,7655;360,375
-0,5073;21,6272;364,6837
8,9533;35,852;357,6456
15,4687;28,9007;351,7702
18,0762;20,9263;349,3509
-20,855;-7,5239;380,754
3,3097;17,301;363,9034
1,8242;6,043;369,6614
-6,3205;-5,2409;376,7073
3,5996;26,0346;361,3618
8,4586;-7,4019;372,9653
6,1311;15,9515;361,9654
-14,9608;-10,6469;380,4584
-9,8649;13,4097;371,6741
11,5786;18,1744;354,8088
-2,8792;-3,7599;375,1749
8,6787;27,066;357,0241
7,6898;-2,1451;370,3116
21,8734;16,26;350,1221
21,0828;14,9974;351,0029
11,0569;21,4498;354,478
-4,8675;16,4666;368,2279
3,8197;0,1492;371,3576
-4,7853;7,0225;372,0552
19,8827;20,2339;348,4286
7,4186;12,474;362,6408
-3,2786;-7,6253;376,8552
17,5244;24,6659;349,3427
3,3623;31,6592;361,0167
-19,169;-9,2906;380,9249
10,0072;16,4204;357,1636
-16,3098;-8,7616;380,0488
-10,654;-0,796;376,426
0,7281;-2,656;373,9859
11,355;27,3569;354,624
17,6448;23,4163;349,1334
-6,5796;13,5328;370,111
6,5935;1,2423;369,2509
10,9271;24,549;354,5394
5,1366;19,4697;361,4528
6,4307;25,4095;359,1181
13,7337;-6,2884;368,5328
13,7351;26,7753;352,5755
9,178;19,9463;356,7189
23,3963;10,3343;352,612
8,7469;23,4624;356,6623
18,5571;21,9867;348,8381
0,264;-0,0663;373,0844
15,4708;-1,0508;364,3191
2,6407;11,532;366,831
-7,5214;1,6928;374,7191
1,4408;27,9994;362,3261
20,4168;19,5932;348,4339
21,173;6,0905;355,8761
15,3892;27,8043;351,6256
-6,9497;-9,2096;378,2041
15,6671;24,6681;350,8061
4,6239;-7,2442;374,5017
13,4508;19,6421;352,7771
14,557;1,4005;363,6636
-4,1233;3,9079;373,0753
17,1513;1,0385;362,0368
13,3411;22,3808;352,4623
-12,9238;-7,9191;379,0523
-21,4509;-5,2681;380,3948
11,2586;13,0149;357,8892
14,4411;6,8008;360,0096
0,8041;-4,9613;374,7674
-3,8194;12,9502;369,1265
-2,601;9,4346;370,0816
-10,9881;10,8981;373,1701
-6,5551;-3,1496;376,0038
22,3234;7,9937;354,2517
19,7111;4,7273;357,6576
16,6615;15,4825;352,2844
1,3412;14,9543;366,1458
22,9452;12,911;351,6166
20,2791;9,9717;354,1526
-10,6263;7,6065;374,046
19,2137;15,0507;351,5779
15,7979;3,8377;361,1417
-14,5921;1,4507;377,083
14,4611;-3,6491;366,4778
15,678;26,309;351,1023
-17,6648;-1,4205;378,4074
10,4025;5,5124;364,4359
-2,9477;-5,7739;376,0234
0,5791;9,1783;368,846
5,8921;10,2997;365,2598
-21,0709;-2,8077;379,8162
4,512;13,8122;364,5519
15,8325;18,2322;351,5107
-16,4843;2,9522;377,4223
8,8674;9,0015;363,4841
-6,9991;-0,8647;375,3242
17,197;10,5449;355,1614
-13,1367;4,5802;375,8294
10,0927;11,1112;360,6698
7,5675;18,0544;359,1943
10,0624;-0,6306;367,8786
-19,0718;0,1417;378,5946
15,919;22,6855;350,5285
12,8155;29,228;353,7854
13,5572;30,6492;353,4986
15,5888;20,7031;350,9841
18,0773;17,2949;350,6438
-8,4635;10,6116;372,0413
14,1563;16,6355;353,3691
-7,3958;17,393;369,0611
7,3918;6,7339;366,0745
-3,1451;-1,4367;374,5913
-3,1045;22,2842;365,577
19,0904;7,6967;356,2114
8,7971;3,112;366,9189
-14,19;-3,5975;377,9402
8,345;-5,0498;371,5597
-17,3889;-6,4262;379,57
11,9701;33,5427;355,2121
21,0183;12,4132;352,5148
-8,7754;14,7629;370,6537
0,2874;18,3197;365,3698
17,4621;25,4269;349,7896
4,3729;22,9226;361,2485
12,6406;14,8787;355,4831
10,8418;32,353;355,9173
2,3309;20,8245;363,3546
6,8649;21,6959;359,013
13,0322;-1,5653;366,2884
-5,3056;20,0506;367,1596
-13,7233;-5,8702;378,4436
-5,6949;10,2338;371,0518
9,6735;30,2075;356,5695
13,4219;24,7039;352,4955
-9,8606;-5,3439;377,4244
20,2358;17,4061;349,9548
-1,9174;15,7296;367,2383
-11,1215;1,6963;375,8944
14,1507;11,6814;356,3837
19,3025;18,9069;349,2863
-0,5761;2,8229;372,1301
15,9516;8,6976;357,4277
-1,2359;24,8282;364,1069
-6,6701;-7,2521;377,378
1,3395;24,3332;363,029
12,891;9,8344;358,8901
4,4259;-2,5149;372,3561
15,4151;13,5369;354,1888
2,8569;3,0517;370,4872
-3,6366;1,1297;373,9519
-0,7935;12,3726;368,0465
13,1543;4,5856;362,733
-14,3181;-1,1207;377,4649
17,6735;19,4908;349,9747
11,8072;1,9685;365,3456
17,3222;5,9165;358,5795
-14,5636;6,2442;376,0361
-2,6873;19,0192;366,4293
-10,3534;4,6194;374,8017
-7,3973;4,4958;373,8743
11,6545;7,8235;361,6602
-10,3719;-3,1872;376,9873
18,3501;12,7883;353,3314
-1,5148;6,0001;371,1139
17,2132;25,5236;349,9277
8,6218;14,5245;359,7941
-7,8123;7,4936;372,9837
-9,8494;-7,5483;378,1248
11,7445;-7,5379;370,9168
-12,6261;8,9072;374,5099
4,7526;-5,0053;373,4211
6,2144;33,916;359,3283
11,2684;-4,327;369,0959
4,1063;8,1072;367,5981
18,3393;3,0908;359,7835
21,2505;18,599;348,6724
-10,6364;-9,8753;379,361
5,4447;4,6663;368,3759
19,9074;1,55;367,2942
6,3911;8,7437;377,9804
6,8878;35,4313;361,0684
18,498;27,9941;353,9978
26,477;21,5488;357,6971
0,1139;23,9531;370,3658
0,179;12,2954;379,7335
25,9631;19,9596;353,3706
-10,8372;10,084;375,5705
23,4317;20,773;350,2055
19,0368;0,3495;363,2329
-2,0057;1,6169;380,1067
16,0209;19,9731;365,0232
14,6139;13,5672;367,5016
-18,945;-8,8995;382,5168
5,6878;14,9966;375,9903
21,4482;23,3675;350,5605
10,5489;32,8254;361,0656
-15,1959;-5,6545;382,3197
19,6717;9,7775;362,5755
6,8153;2,2171;378,2871
16,3799;16,4314;365,5047
13,1344;22,7661;366,0503
-14,1885;1,3405;380,2919
14,7959;-4,8658;373,2789
-14,0399;-7,4164;381,709
4,0408;18,6538;375,9705
5,0087;5,901;379,7448
18,1333;13,4718;363,9844
11,4345;15,5164;370,3459
16,4304;30,1538;356,4654
20,2771;3,3156;364,245
-20,4843;-6,8847;382,6165
9,3641;36,5265;359,0705
2,1848;21,8809;374,6272
20,7206;26,1901;354,0339
25,0153;19,15;359,4867
22,7952;18,4496;350,054
-5,3301;15,9766;373,483
1,8417;27,3848;368,0508
7,1575;-3,9739;375,9425
0,8372;-2,5684;377,9758
4,0471;12,4743;378,5132
15,6855;4,0131;370,4023
-6,0254;12,3106;376,1619
4,2372;-4,0023;376,5536
-8,202;8,4284;377,8158
-9,1633;2,2511;381,3614
11,1033;21,3962;368,2867
-6,3398;-1,5284;380,4422
13,2647;17,9471;367,8383
-7,0901;-4,6028;379,9358
-14,2945;-11,0142;381,3532
11,0318;29,4081;363,4917
-17,6239;2,245;378,7929
22,8928;25,6774;357,5036
15,7423;23,5089;363,7243
19,5102;24,5894;350,209
21,5566;4,3809;358,2159
18,6429;6,7886;364,4043
-21,2924;-4,0329;382,0541
7,1648;-6,8986;374,5774
20,3415;26,8542;358,3226
-10,3851;4,6214;379,1
7,6595;11,1213;375,8129
-4,1048;-6,8178;378,3704
19,8134;27,953;356,9381
25,3461;21,9885;353,3396
15,3362;30,6757;353,8905
5,9486;27,2939;369,4785
22,736;21,4743;350,1543
21,9593;23,0045;350,9185
-15,5131;-1,6953;381,8767
4,5169;24,8711;372,2724
1,4754;29,567;364,2722
-11,4386;-10,5427;380,4323
-0,6667;-7,3488;376,9695
-16,4985;-10,265;382,0838
4,1477;30,5677;366,2054
22,7198;9,8526;360,6131
14,1226;29,3256;360,9872
1,7435;0,3489;378,687
0,1072;-5,1745;377,353
24,3443;6,7785;355,4241
20,5885;24,3547;350,6706
5,8715;21,1262;373,0529
18,4736;1,2697;369,9963
-9,7931;13,3173;373,4044
-1,4109;14,4833;377,188
-4,1588;-8,725;377,9235
21,9846;19,6978;361,0417
16,5393;10,2708;365,4714
21,2953;22,6388;360,3017
2,6543;3,3276;379,4654
15,2558;7,7149;367,968
19,5382;17,348;363,0074
-20,1357;-1,0619;380,165
23,7632;24,2211;354,7748
21,1053;13,4978;361,8216
7,4841;32,3797;364,3247
10,0221;-0,7499;376,597
-4,5292;22,2479;367,9414
-3,0072;10,6916;378,9983
9,4625;13,6616;373,0446
7,4968;17,3708;373,2649
10,2581;6,7633;375,2848
23,6919;7,2583;358,7706
21,7799;24,7488;352,8376
16,8816;0,1874;373,2241
