"...1";"...2";"...3"
-7,5033;18,2201;347,9931
11,2588;19,7925;345,697
2,4701;19,1462;343,5409
-5,9487;18,0239;346,9835
0,8746;18,3686;345,0741
4,4732;17,0547;347,5562
4,5104;18,1009;345,6659
3,2247;16,9213;347,9616
3,7198;17,3023;347,2752
-3,2832;18,0732;346,7661
3,414;18,7075;344,3167
-0,653;17,5647;348,0778
7,5432;17,6988;346,698
2,5979;17,3838;347,1298
5,9992;17,3662;347,0512
-2,3451;17,9541;347,211
2,2212;18,8072;344,0872
7,0857;17,4685;347,2536
0,5615;17,7166;346,614
-3,4534;18,1398;346,5722
-4,0201;17,6194;347,6516
1,3816;17,5267;347,0418
-3,2498;18,4249;345,8896
-1,4478;18,6098;345,1093
-6,0433;17,69;347,7069
4,7345;18,5844;344,6748
8,7811;17,9452;347,0096
3,3317;18,2605;345,358
-5,221;17,8119;347,1732
2,1103;17,0812;347,9112
7,867;18,1125;346,167
-1,863;18,2627;346,1266
6,9869;18,4542;345,3515
-2,2399;17,7543;347,8433
5,6118;18,064;345,9765
6,4112;17,7046;346,6179
-4,3681;17,7448;347,2761
-6,4109;17,6908;347,5339
10,3394;18,951;345,9902
7,8389;18,4131;345,6326
5,2578;17,6789;346,6352
5,6611;17,2162;347,4267
-4,8102;17,809;347,1426
-0,7649;17,9365;346,6361
-0,5862;18,1286;345,9372
0,6877;18,0426;345,8722
4,1077;17,7163;346,5364
-0,6533;17,5761;347,3004
9,0625;18,4046;346,2876
9,2456;18,8527;345,6475
-0,3031;18,5582;344,766
-1,9805;18,2955;345,7846
4,8888;17,3726;347,2167
5,9706;18,5566;345,0239
2,9703;17,881;346,3443
1,9263;17,9868;346,0256
-4,4425;18,0351;346,7031
-2,0521;18,1213;346,6421
2,0947;18,3726;345,1139
0,9766;18,695;344,3104
-6,6863;17,6059;347,7933
0,8422;17,2038;347,9924
-0,4225;18,3601;345,3302
17,1878;63,7798;343,5985
17,7998;33,3296;346,6637
-4,0136;57,8487;345,4249
18,6278;35,4885;346,6179
22,7256;42,088;346,8593
21,5405;31,4931;346,4453
14,8804;23,9319;345,825
3,8287;21,794;343,1667
15,7336;66,9705;343,6292
15,2575;41,2781;347,0896
8,8194;49,442;346,6982
2,9044;60,6807;343,7934
18,7275;37,2394;346,6061
-8,9999;52,9855;346,6049
10,888;39,2238;346,8596
5,8425;67,648;342,2783
29,3487;51,6137;346,8288
6,1307;30,9912;344,607
2,2801;58,0119;345,0263
14,5801;31,8519;346,3558
-3,5162;50,1964;346,4787
-8,1402;20,1093;347,437
-6,4256;22,6576;346,1747
8,8956;29,9999;344,903
25,8713;46,9303;347,3279
1,8122;51,718;345,9326
16,4687;52,4378;346,1158
1,015;20,039;343,6336
7,2214;40,3105;346,926
-4,2277;61,4257;344,7257
8,1749;20,2747;344,4983
20,9417;35,7167;346,5853
11,9689;67,7809;343,1376
6,4643;33,9473;345,8122
9,4358;66,5911;342,5165
13,7992;59,2714;344,2497
1,0391;55,3311;345,5065
13,2539;28,6801;345,6354
6,6801;20,7343;344,016
25,2772;49,5705;347,0699
0,1726;48,982;346,2175
11,2889;29,3642;345,2935
13,9894;38,2307;346,8237
15,4824;34,6253;346,5835
-14,0285;47,7107;348,1901
11,8197;25,7251;344,9639
9,5167;32,9791;345,9011
-10,1777;25,8704;347,3539
12,1425;32,2854;346,1065
4,814;20,6198;343,5244
4,3622;54,0831;345,6682
-14,3072;42,3817;348,7853
12,3095;45,3379;346,9972
13,5469;56,6118;344,8611
22,1527;38,3542;346,5365
-2,1686;19,5786;344,9305
-12,1324;31,3724;347,9101
13,0659;23,6718;345,4477
-3,3092;64,2416;343,6571
8,919;23,3346;344,2418
-6,252;55,3458;346,0102
5,7221;27,9773;343,6008
-9,7814;41,7706;347,8769
12,6022;53,9834;345,7945
-13,6212;39,3039;348,6615
8,0712;26,9179;343,951
6,4207;64,9966;342,5372
19,0798;66,2713;343,9253
2,9714;35,0253;346,064
-4,8536;37,3195;347,1821
-1,712;56,5713;345,4364
